Query,Title,Price,Rating,Reviews,Image URL,Product URL
men jeans,Men Denim Jeans,464,3.7,7021,https://images.meesho.com/images/products/369905116/eizqc_400.webp,https://www.meesho.com/men-denim-stylish-jeans/p/648cm4
men jeans,Men Regular Jeans,495,4.1,11,https://images.meesho.com/images/products/441569467/mcnkl_400.webp,https://www.meesho.com/denim-mens-stylish-jeans-for-fashionable-and-classic/p/7awd6j
men jeans,Men Skinny Jeans,359,4.0,1801,https://images.meesho.com/images/products/415242716/iuh7m_400.webp,https://www.meesho.com/24db-xl-plane-men-royal/p/6v83bw
men jeans,Men Denim Jeans,464,3.7,4867,https://images.meesho.com/images/products/369894627/opdpd_400.webp,https://www.meesho.com/men-denim-stylish-jeans/p/6484ir
men jeans,Men Regular Jeans,460,3.6,35,https://images.meesho.com/images/products/437969112/8zykc_400.webp,https://www.meesho.com/men-regular-jeans/p/78r74o
men jeans,Men Denim Black Jeans,281,3.6,1274,https://images.meesho.com/images/products/253754919/igmx6_400.webp,https://www.meesho.com/men-denim-black-jeans/p/472ujr
men jeans,Men Cotton Lycra Jeans,1038,3.7,2086,https://images.meesho.com/images/products/2690246/1_400.webp,https://www.meesho.com/men-cotton-lycra-jeans/p/1lnt2
men jeans,Men Slim Jeans,452,3.7,N/A,https://images.meesho.com/images/products/442020662/nub0x_400.webp,https://www.meesho.com/men-cool-denim-jeans-pack-of-1/p/7b61bq
men jeans,Casual Unique Men Jeans,278,3.7,254,https://images.meesho.com/images/products/229251961/9u9ah_400.webp,https://www.meesho.com/stitch-factory-solid-stretchable-black-fashionable-jeans-for-mens-and-boys/p/3shny1
men jeans,Men Denim Black Jeans,254,3.7,2068,https://images.meesho.com/images/products/252813444/nqe3v_400.webp,https://www.meesho.com/men-denim-black-jeans/p/46io3o
men jeans,Stylish Unique Men Jeans,456,3.8,1186,https://images.meesho.com/images/products/394842656/jduan_400.webp,https://www.meesho.com/stylish-latest-men-jeans/p/6j2ujk
men jeans,Men Cotton Blend Jeans,369,3.9,17227,https://images.meesho.com/images/products/162412829/hqxog_400.webp,https://www.meesho.com/men-cotton-blend-jeans/p/2op2jh
men jeans,Men Regular Jeans,720,3.7,16,https://images.meesho.com/images/products/439898060/fkiqq_400.webp,https://www.meesho.com/stylish-fabulous-men-grey-jeans/p/79wjik
men jeans,Men Polycotton Black Jeans,257,3.7,5537,https://images.meesho.com/images/products/188888236/3ebea_400.webp,https://www.meesho.com/men-polycotton-black-jeans/p/34gj3g
men jeans,Men Slim Jeans,450,3.7,N/A,https://images.meesho.com/images/products/442682968/3zkuk_400.webp,https://www.meesho.com/men-cool-denim-jeans-pack-of-1/p/7bk8d4
men jeans,RIGBONE Men's Jeans,657,3.9,3458,https://images.meesho.com/images/products/62125468/yyrzg_400.webp,https://www.meesho.com/rigbone-mens-solid-beige-jeans/p/10zkbg
men jeans,Men Baggy Jeans,396,3.9,61,https://images.meesho.com/images/products/424807871/gkgwg_400.webp,https://www.meesho.com/men-baggy-jeans/p/70x3un
men jeans,Men Denim Jeans,464,3.7,3413,https://images.meesho.com/images/products/370158187/4qkfs_400.webp,https://www.meesho.com/men-denim-stylish-jeans/p/64drvv
men jeans,Stylish Trendy Men Jeans,300,3.8,301,https://images.meesho.com/images/products/244922268/u8bvs_400.webp,https://www.meesho.com/monk-white-plain-jeans/p/41tj8c
men jeans,Men Denim Casual Jeans,495,3.8,2794,https://images.meesho.com/images/products/377672122/qufzs_400.webp,https://www.meesho.com/men-denim-stylish-casual-jeans-pant-grey/p/68utoa
men jeans,Men Slim Jeans,446,3.5,29,https://images.meesho.com/images/products/433167538/wm5ih_400.webp,https://www.meesho.com/designer-latest-elegant-blue-denim-jeans-for-men/p/75wa7m
men jeans,KAZAMAJEANS Men Tapered Jeans,321,3.7,N/A,https://images.meesho.com/images/products/437078976/1ldpd_400.webp,https://www.meesho.com/black-print-jeans/p/7884ao
men jeans,Stylish Latest Men Jeans,470,3.5,181,https://images.meesho.com/images/products/382082864/inw38_400.webp,https://www.meesho.com/stylish-latest-men-jeans/p/6bhd0w
men jeans,Men Denim Jeans,592,3.7,3808,https://images.meesho.com/images/products/258271819/qgklp_400.webp,https://www.meesho.com/men-denim-dark-blue-jeans/p/49rnt7
men jeans,Men Slim Jeans,427,3.7,17,https://images.meesho.com/images/products/438160348/jxd8q_400.webp,https://www.meesho.com/looks-stylish-denim-for-men-pack-of-1/p/78vaos
men jeans,Men Black Denim Jeans,284,3.7,2566,https://images.meesho.com/images/products/179844552/azzno_400.webp,https://www.meesho.com/men-black-denim-jeans/p/2z2oy0
men jeans,RIGBONE Men's Jeans,626,3.8,16,https://images.meesho.com/images/products/436022940/oju5s_400.webp,https://www.meesho.com/rigbone-mens-relaxed-green-jeans/p/77lhgc
men jeans,Men Denim Black Jeans,198,3.6,8159,https://images.meesho.com/images/products/310668182/sjuog_400.webp,https://www.meesho.com/men-high-qulity-denim-black-jeans-csurgo/p/54yp3q
men jeans,Fashionable Latest Men Jeans,353,3.7,221,https://images.meesho.com/images/products/266345292/bg4qs_400.webp,https://www.meesho.com/satsukrat-track-pants/p/4ekpcc
men jeans,Stylish Fashionista Men Jeans,320,3.8,768,https://images.meesho.com/images/products/398819897/7okug_400.webp,https://www.meesho.com/monk-primium-white-jeans/p/6lg3eh
men jeans,Men Baggy Jeans,320,3.7,N/A,https://images.meesho.com/images/products/440107551/wmjmi_400.webp,https://www.meesho.com/men-baggy-jeans/p/7a115r
men jeans,Men Slim Jeans,475,3.7,N/A,https://images.meesho.com/images/products/440681373/3ayow_400.webp,https://www.meesho.com/looks-cool-denim-jeans-for-men/p/7adbx9
men jeans,Men Black Cotton Blend Jeans,301,3.7,6647,https://images.meesho.com/images/products/339559582/6mhk3_400.webp,https://www.meesho.com/men-black-cotton-blend-dashing-jeans/p/5m5xum
men jeans,Hotlist Men Regular Jeans,359,3.8,1026,https://images.meesho.com/images/products/405642893/rczld_400.webp,https://www.meesho.com/classic-white-jeans-timeless-versatile-perfect-fit-for-any-occasion/p/6pic25
men jeans,Men Cotton Blend Knee Cut Jeans,289,3.7,267,https://images.meesho.com/images/products/250220932/e8ulg_400.webp,https://www.meesho.com/men-cotton-blend-knee-cut-black-jeans/p/44z3pg
men jeans,BASE-CROWD Men Regular Jeans,586,4.0,4,https://images.meesho.com/images/products/407984570/wv0i9_400.webp,https://www.meesho.com/mens-denim-jeans/p/6qwiwq
men jeans,Fancy Trendy Men Jeans,1078,3.7,1432,https://images.meesho.com/images/products/17610333/fmbz1_400.webp,https://www.meesho.com/designer-trendy-men-jeans/p/ahg7x
men jeans,Men Cargo Jeans,320,4.0,5,https://images.meesho.com/images/products/440096609/rweyv_400.webp,https://www.meesho.com/men-cargo-jeans/p/7a0spt
men jeans,Men Slim Jeans,464,3.6,9,https://images.meesho.com/images/products/407855258/ajrzc_400.webp,https://www.meesho.com/davy-jones-grey-denim-jeans-for-men-pack-of-1/p/6qtr4q
men jeans,Men Polycotton Black Jeans,304,3.7,2280,https://images.meesho.com/images/products/315750308/ng3w0_400.webp,https://www.meesho.com/men-polycotton-black-jeans/p/57zmhw
women jeans,Urbane Retro Women Jeans,197,3.8,15912,https://images.meesho.com/images/products/313719770/6dqxg_400.webp,https://www.meesho.com/baggy-jeanswomen-jean-womens-jean-jean-for-womens-trendy-jean-for-women/p/56s3q2
women jeans,Trendy Retro Women Jeans,339,3.7,7793,https://images.meesho.com/images/products/393634523/qppga_400.webp,https://www.meesho.com/womens-4-button-plain-jeans-for-women-plus-size-women-and-girl/p/6icycb
women jeans,Urbane Retro Women Jeans,615,4.0,7276,https://images.meesho.com/images/products/389404323/qjpsk_400.webp,https://www.meesho.com/ice-blue-denim-wide-leg-denim-jeans/p/6fuaar
women jeans,Stylish Designer Women Jeans,277,3.9,13147,https://images.meesho.com/images/products/282676569/hcvia_400.webp,https://www.meesho.com/women-black-jeans/p/4oaqmx
women jeans,Urbane Elegant Women Jeans,274,4.0,3691,https://images.meesho.com/images/products/407965604/m0kc2_400.webp,https://www.meesho.com/trandy-women-fancy-cargo-pant/p/6qw49w
women jeans,Stylish Sensational Women Jeans,186,4.5,47,https://images.meesho.com/images/products/442906651/gfzpk_400.webp,https://www.meesho.com/women-jean-women-black-jeans-women-baggy-jean/p/7bp0yj
