Query,Title,Price,Rating,Reviews,Image URL,Product URL
jewellery,Princess Fusion Jewellery Sets,218,3.7,30377,https://images.meesho.com/images/products/69004735/glmff_400.webp,https://www.meesho.com/princess-unique-jewellery-sets/p/1530e7
jewellery,Elite Beautiful Jewellery Sets,147,4.0,374,https://images.meesho.com/images/products/428003412/dril6_400.webp,https://www.meesho.com/vk-012/p/72tljo
jewellery,Unique Earrings & Studs,192,4.1,3295,https://images.meesho.com/images/products/395873739/3tast_400.webp,https://www.meesho.com/oxodise-earrings-combo-of-12-colors-earrings-gold-plated-earrings-girls-womens-jhumka-earrings-traditional-engagement-earrings-multicolor-jhumki-earrings-designer-jhumka-earrings/p/6joy4r
jewellery,Diva Glittering Jewellery Sets,191,4.0,92839,https://images.meesho.com/images/products/85630166/cisnh_400.webp,https://www.meesho.com/rhodium-plated-jewellery-set-white-austrian-diamond/p/1ezcnq
jewellery,Trendy New Jewellery Set,271,3.9,427,https://images.meesho.com/images/products/398015907/ymgcy_400.webp,https://www.meesho.com/new-women-earring-mathapatti-and-mangtika-combo-set/p/6kyv1f
jewellery,Trendy Earrings & Studs,150,4.0,100,https://images.meesho.com/images/products/437089580/lifzk_400.webp,https://www.meesho.com/princess-fancy-jewellery-sets/p/788ch8
jewellery,Allure Graceful Jewellery Sets,151,4.0,3740,https://images.meesho.com/images/products/382053770/ppjry_400.webp,https://www.meesho.com/chokki-der/p/6bgqkq
jewellery,Allure Fancy Women Necklaces & Chains,86,4.1,12481,https://images.meesho.com/images/products/405048121/a49eg_400.webp,https://www.meesho.com/gold-heart-shap-necklace-chain-fancy-micro-gold-plated-pendent-set-for-girls-and-womenpack-of-1/p/6p5l4p
jewellery,Shimmering Beautiful Jewellery Sets,207,4.1,4255,https://images.meesho.com/images/products/388839060/hlwdw_400.webp,https://www.meesho.com/cz-stone-necklace-with-earring-woman-jewelly-set/p/6fi650
jewellery,Princess Glittering Jewellery Sets,167,4.0,47149,https://images.meesho.com/images/products/314436847/e3tw3_400.webp,https://www.meesho.com/premium-quality-trending-design-choker-jewellery-set-for-women-girls/p/577h0v
jewellery,Unique Earrings & Studs,152,4.2,2826,https://images.meesho.com/images/products/294244270/vqiml_400.webp,https://www.meesho.com/combo-of-4-pair-new-latest-design-drop-dangles-hoop-jhumki-oxidised-silver-earrings-for-womengirls/p/4v6oby
jewellery,Elite Beautiful Mangalsutras,189,3.9,7719,https://images.meesho.com/images/products/213077954/mgkc1_400.webp,https://www.meesho.com/mangalsutra-combo-buy-1-get-4-free/p/3iv002
jewellery,Feminine Fancy Jewellery Sets,217,3.7,38878,https://images.meesho.com/images/products/51982067/juuuw_400.webp,https://www.meesho.com/twinkling-beautiful-jewellery-sets/p/uy5mb
jewellery,Shimmering Chunky Jewellery Sets,144,4.1,14,https://images.meesho.com/images/products/314777079/zkxhf_400.webp,https://www.meesho.com/jewellery-for-women-and-girl/p/57erjr
jewellery,Shimmering Chunky Mangalsutras,102,3.9,1661,https://images.meesho.com/images/products/288951680/qi9mx_400.webp,https://www.meesho.com/elite-chunky-mangalsutras/p/4s18jk
jewellery,Princess Colorful Jewellery Sets,197,3.8,668,https://images.meesho.com/images/products/377346310/ffj4z_400.webp,https://www.meesho.com/samridhi-dc-princess-combo-pack-of-2-oxidised-jewellery-set/p/68nu9y
jewellery,Shimmering Fancy Jewellery Sets,169,3.8,21959,https://images.meesho.com/images/products/264110431/pntjv_400.webp,https://www.meesho.com/feminine-chic-jewellery-sets/p/4d8swv
jewellery,Latest Earrings & Studs,117,4.0,327,https://images.meesho.com/images/products/384691808/m29r4_400.webp,https://www.meesho.com/casual-earrings-studs/p/6d1a3k
jewellery,Twinkling Chic Jewellery Sets,152,3.7,3239,https://images.meesho.com/images/products/311894899/ypjua_400.webp,https://www.meesho.com/princess-unique-jewellery-sets/p/55ozn7
jewellery,Twinkling Fusion Bracelet & Bangles,128,4.3,6465,https://images.meesho.com/images/products/395490314/fjmo9_400.webp,https://www.meesho.com/elitae-fancy-bracelet-bangles-galaxxys-marvelloous-gold-plated-multi-strand-bracelet-for-women-shape-pendant-chain-necklace-for-women-and-girls-womens-colourful/p/6jgqa2
jewellery,New Earrings & Studs,128,4.0,1390,https://images.meesho.com/images/products/306674491/1tk4u_400.webp,https://www.meesho.com/ft-code-new-deginer-3layer-earing-kan-chain/p/52l3jv
jewellery,Princess Glittering Mangalsutras,127,4.1,2965,https://images.meesho.com/images/products/305588855/otcfr_400.webp,https://www.meesho.com/mangalsutra-combo-buy-1-get-3-free/p/51xtvb
jewellery,Elite Chunky Women Necklaces & Chains,173,4.1,2175,https://images.meesho.com/images/products/407973860/mtlbw_400.webp,https://www.meesho.com/gold-plated-combo-pack-of-2-chain-pandent-for-women/p/6qwan8
jewellery,Twinkling Fusion Jewellery Sets,142,3.7,664,https://images.meesho.com/images/products/364626620/s8fsc_400.webp,https://www.meesho.com/latest-jewellery-set-for-women-new-fancy-women-jewellery/p/6137p8
jewellery,Diva Beautiful Jewellery Sets,192,3.8,17722,https://images.meesho.com/images/products/113991590/sisyh_400.webp,https://www.meesho.com/alloy-gold-plated-jewel-set/p/1vv8h2
jewellery,Allure Unique Jewellery Sets,191,3.6,11197,https://images.meesho.com/images/products/53202077/geuw5_400.webp,https://www.meesho.com/princess-unique-jewellery-sets/p/voazh
jewellery,Unique Earrings & Studs,121,4.3,8315,https://images.meesho.com/images/products/395993664/b5vnp_400.webp,https://www.meesho.com/antique-designer-oxidized-rajwadi-jhumka-earrings-for-beautiful-girls-women/p/6jrio0
jewellery,Elite Beautiful Jewellery Sets,213,4.0,722,https://images.meesho.com/images/products/367330671/8r9o4_400.webp,https://www.meesho.com/jewellery-set-necklace-set-har-set-patwa-set-artificial-jwellery-combo-set-dulhan-set/p/62p65r
jewellery,Diva Chunky Jewellery Sets,142,4.0,1574,https://images.meesho.com/images/products/393490803/vaewg_400.webp,https://www.meesho.com/alisha-oxocraft-black-pearl-ad-jewellery-set-oxidized-jewellery-set/p/6i9vg3
jewellery,Shimmering Beautiful Jewellery Sets,272,3.9,2521,https://images.meesho.com/images/products/401841826/bohla_400.webp,https://www.meesho.com/5-pcs-choker-combo-set-crystal-choker-with-earrings-jewellery-set/p/6n8v4y
jewellery,Diva Colorful Jewellery Sets,163,4.3,8581,https://images.meesho.com/images/products/313942157/cdjul_400.webp,https://www.meesho.com/single-and-dual-line-pearl-mala-set-pearl-necklace-pearl-neckpeice/p/56wvbh
jewellery,Shimmering Elegant Jewellery Sets,94,3.6,282,https://images.meesho.com/images/products/420768033/bu3wz_400.webp,https://www.meesho.com/stylish-jewellery-set-for-women/p/6yiiox
jewellery,Free Gift Classy Beautiful Womens Alloy Jewelry Sets,239,3.9,2318,https://images.meesho.com/images/products/1245504/1_400.webp,https://www.meesho.com/trendy-alloy-jewelry-set/p/qp1c
jewellery,Stylo Earrings & Studs,139,4.1,41,https://images.meesho.com/images/products/406328560/2xwxt_400.webp,https://www.meesho.com/fashionable-stylish-studs-earrings-set/p/6px14g
jewellery,Twinkling Glittering Jewellery Sets,217,3.6,20477,https://images.meesho.com/images/products/154970378/wiekg_400.webp,https://www.meesho.com/diva-fusion-jewellery-sets-for-women/p/2k9jwq
jewellery,Diva Beautiful Jewellery Sets,149,4.1,7777,https://images.meesho.com/images/products/356924824/xflrm_400.webp,https://www.meesho.com/skr-girls-neckless-hasli-sakira-set/p/5wi4yg
jewellery,Twinkling Chunky Jewellery Sets,140,4.1,11298,https://images.meesho.com/images/products/201118549/t4tju_400.webp,https://www.meesho.com/jewellery-set/p/3bqo2d
jewellery,Feminine Graceful Jewellery Sets,246,4.1,27,https://images.meesho.com/images/products/428996346/kh758_400.webp,https://www.meesho.com/stylish-tanmaniya-for-womens/p/73evp6
jewellery,Twinkling Beautiful Jewellery Sets,180,4.2,6616,https://images.meesho.com/images/products/349733307/w7xuw_400.webp,https://www.meesho.com/neckles-set/p/5s7zy3
jewellery,Feminine Glittering Jewellery Sets,138,4.1,953,https://images.meesho.com/images/products/379971745/r25fo_400.webp,https://www.meesho.com/jewellery-set-for-women/p/6a842p
black kurti,Aishani Voguish Kurtis,259,3.6,56094,https://images.meesho.com/images/products/299885320/auqci_400.webp,https://www.meesho.com/fancy-long-flair-anarkali-type-kurti/p/4yjkzs
black kurti,Aagyeyi Refined Kurtis,295,4.3,52002,https://images.meesho.com/images/products/178709577/ayxnr_400.webp,https://www.meesho.com/banita-alluring-womens-kurti/p/2yed6x
black kurti,Banita Graceful Kurtis,183,4.0,4750,https://images.meesho.com/images/products/405833698/qep56_400.webp,https://www.meesho.com/kurti/p/6pmfaa
black kurti,Trendy Fabulous Kurtis,214,4.0,3158,https://images.meesho.com/images/products/372837424/y62kt_400.webp,https://www.meesho.com/short-royal-kurtis/p/65z774
black kurti,Jivika Drishya Kurtis,267,4.2,2737,https://images.meesho.com/images/products/328541326/gy1iz_400.webp,https://www.meesho.com/new-printed-kurti/p/5fls3y
black kurti,Adrika Graceful Kurtis,220,4.2,2921,https://images.meesho.com/images/products/339376888/wshnz_400.webp,https://www.meesho.com/kurti-for-women/p/5m20vs
black kurti,Chitrarekha Sensational Kurtis,310,3.9,525,https://images.meesho.com/images/products/428891008/mklrl_400.webp,https://www.meesho.com/kurti/p/73cmf4
black kurti,Banita Alluring Kurtis,382,3.9,2888,https://images.meesho.com/images/products/178278207/jk4zo_400.webp,https://www.meesho.com/abcreation-black-rayon-kurti-with-pant-and-red-bhandhej-dupatta-with-lace/p/2y54cf
black kurti,Trendy Ensemble Kurtis,245,4.0,7010,https://images.meesho.com/images/products/385715026/4f0yg_400.webp,https://www.meesho.com/new-taj-kurti/p/6dn7ma
black kurti,Adrika Voguish Kurtis,180,4.1,7,https://images.meesho.com/images/products/434053427/vbem5_400.webp,https://www.meesho.com/premium-american-crepe-kurtis/p/76f9rn
black kurti,Banita Fashionable Kurtis,251,4.0,70,https://images.meesho.com/images/products/207850415/6ckig_400.webp,https://www.meesho.com/reshma-stylish-pocket-kurtis/p/3fqyen
black kurti,Adrika Fashionable Kurtis,258,4.1,210,https://images.meesho.com/images/products/439384805/amlut_400.webp,https://www.meesho.com/black-single-kurti/p/79ljhh
